3,4056,67,69,1017,AdWords,In Progress,42,2021-03-10,2023-06-08,2022-10-01,2025-08-10 15:47:43.503000000,0,0,4056,67,69
4,2136,78,290,257,AdWords,Dropped,166,2023-03-17,2020-01-24,2020-08-30,2025-08-10 15:47:43.503000000,0,0,2136,78,290
5,17630,175,339,1695,LinkedIn,In Progress,35,2023-05-22,2025-04-12,2024-08-11,2025-08-10 15:47:43.503000000,0,0,17630,175,339
10,3105,114,52,1813,Referral,In Progress,54,2021-02-22,2023-06-16,2024-12-08,2025-08-10 15:47:43.503000000,0,0,3105,114,52
12,9459,130,267,1951,Direct,Dropped,100,2025-07-30,2022-04-18,2025-04-28,2025-08-10 15:47:43.503000000,0,0,9459,130,267
13,15365,176,287,1159,Referral,Dropped,159,2021-08-03,2022-03-29,2023-02-22,2025-08-10 15:47:43.503000000,0,0,15365,176,287
14,9934,186,252,1249,AdWords,Dropped,149,2023-04-11,2021-11-20,2023-05-23,2025-08-10 15:47:43.503000000,0,0,9934,186,252
15,14345,66,309,161,Direct,Dropped,114,2021-03-29,2022-08-07,2020-06-02,2025-08-10 15:47:43.503000000,0,0,14345,66,309
16,18123,54,444,1394,Direct,Dropped,157,2020-01-30,2021-12-02,2023-10-21,2025-08-10 15:47:43.503000000,0,0,18123,54,444
19,764,165,239,1527,LinkedIn,In Progress,106,2025-09-20,2023-07-09,2024-02-28,2025-08-10 15:47:43.503000000,0,0,764,165,239
20,10520,51,163,407,AdWords,Dropped,50,2021-11-02,2023-09-12,2021-02-08,2025-08-10 15:47:43.503000000,0,0,10520,51,163
21,16128,16,130,289,LinkedIn,Dropped,37,2023-04-20,2025-01-12,2020-10-10,2025-08-10 15:47:43.503000000,0,0,16128,16,130
22,13536,77,152,52,Referral,Dropped,115,2021-05-01,2024-09-13,2020-02-17,2025-08-10 15:47:43.503000000,0,0,13536,77,152
26,17184,93,439,783,AdWords,In Progress,142,2020-09-29,2020-08-27,2022-02-08,2025-08-10 15:47:43.503000000,0,0,17184,93,439
29,11066,178,75,1497,Direct,Dropped,87,2025-12-14,2023-04-15,2024-01-25,2025-08-10 15:47:43.503000000,0,0,11066,178,75
30,4367,100,196,1058,Direct,Dropped,153,2023-11-09,2023-02-05,2022-11-19,2025-08-10 15:47:43.503000000,0,0,4367,100,196
31,3804,91,388,791,Direct,Dropped,11,2023-06-28,2020-01-02,2022-03-01,2025-08-10 15:47:43.503000000,0,0,3804,91,388
32,12053,196,230,139,Direct,In Progress,44,2023-07-06,2021-08-18,2020-05-07,2025-08-10 15:47:43.503000000,0,0,12053,196,230
33,4832,177,399,1425,Referral,In Progress,145,2022-09-16,2023-09-09,2023-11-16,2025-08-10 15:47:43.503000000,0,0,4832,177,399
34,9202,195,206,1414,LinkedIn,Dropped,57,2022-12-23,2020-05-09,2023-11-09,2025-08-10 15:47:43.503000000,0,0,9202,195,206
35,1696,133,344,767,AdWords,In Progress,79,2024-11-16,2023-05-29,2022-01-24,2025-08-10 15:47:43.503000000,0,0,1696,133,344
36,1677,140,306,441,Referral,In Progress,16,2021-03-30,2023-06-19,2021-03-05,2025-08-10 15:47:43.503000000,0,0,1677,140,306
37,16641,102,205,221,Direct,In Progress,129,2024-07-04,2020-07-27,2020-07-31,2025-08-10 15:47:43.503000000,0,0,16641,102,205
39,17887,16,271,1412,Direct,In Progress,98,2020-09-20,2022-08-11,2023-11-02,2025-08-10 15:47:43.503000000,0,0,17887,16,271
40,3291,131,94,895,Referral,Dropped,173,2020-10-29,2022-11-22,2022-06-03,2025-08-10 15:47:43.503000000,0,0,3291,131,94
42,9738,168,7,1295,LinkedIn,Dropped,139,2020-02-13,2020-12-31,2023-07-09,2025-08-10 15:47:43.503000000,0,0,9738,168,7
43,6044,80,278,355,AdWords,Dropped,169,2023-10-05,2024-10-31,2020-12-09,2025-08-10 15:47:43.503000000,0,0,6044,80,278
45,12650,58,332,446,LinkedIn,In Progress,61,2023-05-28,2022-12-01,2021-03-07,2025-08-10 15:47:43.503000000,0,0,12650,58,332
46,11827,181,121,212,LinkedIn,In Progress,92,2025-09-18,2020-05-16,2020-07-17,2025-08-10 15:47:43.503000000,0,0,11827,181,121
47,10313,182,479,1653,Referral,In Progress,66,2025-02-10,2021-09-22,2024-06-27,2025-08-10 15:47:43.503000000,0,0,10313,182,479
49,18346,8,264,1680,AdWords,In Progress,86,2024-04-28,2022-08-08,2024-07-24,2025-08-10 15:47:43.503000000,0,0,18346,8,264
51,5158,50,172,1397,Referral,In Progress,33,2020-07-19,2023-12-18,2023-10-17,2025-08-10 15:47:43.503000000,0,0,5158,50,172
52,19799,141,443,1522,Direct,In Progress,71,2025-10-28,2020-01-05,2024-02-24,2025-08-10 15:47:43.503000000,0,0,19799,141,443
53,9897,39,444,358,LinkedIn,Dropped,170,2020-10-19,2020-07-14,2020-12-20,2025-08-10 15:47:43.503000000,0,0,9897,39,444
54,18445,98,497,1729,AdWords,In Progress,94,2025-04-22,2025-06-06,2024-09-16,2025-08-10 15:47:43.503000000,0,0,18445,98,497
57,4768,60,330,1990,LinkedIn,Dropped,120,2025-05-05,2020-04-29,2025-06-10,2025-08-10 15:47:43.503000000,0,0,4768,60,330
58,15353,162,274,1081,LinkedIn,Dropped,47,2025-08-17,2024-07-11,2022-12-10,2025-08-10 15:47:43.503000000,0,0,15353,162,274
59,4800,83,491,1032,AdWords,Dropped,24,2021-09-24,2023-06-21,2022-10-24,2025-08-10 15:47:43.503000000,0,0,4800,83,491
60,18346,118,4,789,Referral,In Progress,174,2023-01-26,2024-02-01,2022-02-19,2025-08-10 15:47:43.503000000,0,0,18346,118,4
61,18579,65,317,546,Direct,In Progress,42,2024-03-12,2024-08-29,2021-06-23,2025-08-10 15:47:43.503000000,0,0,18579,65,317
63,16915,40,152,768,Direct,In Progress,52,2021-07-25,2025-11-23,2022-02-03,2025-08-10 15:47:43.503000000,0,0,16915,40,152
64,10841,7,469,1575,AdWords,Dropped,100,2024-06-20,2020-04-01,2024-04-15,2025-08-10 15:47:43.503000000,0,0,10841,7,469
65,14912,166,220,1468,LinkedIn,In Progress,114,2023-02-20,2023-12-10,2023-12-27,2025-08-10 15:47:43.503000000,0,0,14912,166,220
66,12343,20,398,960,LinkedIn,In Progress,102,2020-02-11,2020-04-18,2022-08-04,2025-08-10 15:47:43.503000000,0,0,12343,20,398
67,5276,106,423,1859,AdWords,In Progress,130,2022-06-12,2024-05-16,2025-01-31,2025-08-10 15:47:43.503000000,0,0,5276,106,423
68,5199,65,113,1155,AdWords,Dropped,128,2025-09-09,2024-11-15,2023-02-19,2025-08-10 15:47:43.503000000,0,0,5199,65,113
70,14202,19,37,697,Direct,Dropped,171,2025-03-23,2024-11-21,2021-11-18,2025-08-10 15:47:43.503000000,0,0,14202,19,37
74,18663,108,85,171,AdWords,In Progress,150,2020-04-16,2025-06-26,2020-06-08,2025-08-10 15:47:43.503000000,0,0,18663,108,85
76,16693,135,287,992,LinkedIn,In Progress,169,2025-05-03,2022-09-27,2022-09-07,2025-08-10 15:47:43.503000000,0,0,16693,135,287
78,17829,115,72,628,Direct,In Progress,106,2024-02-27,2021-05-25,2021-09-08,2025-08-10 15:47:43.503000000,0,0,17829,115,72
79,4205,102,18,1147,Referral,In Progress,172,2024-07-14,2021-11-19,2023-02-08,2025-08-10 15:47:43.503000000,0,0,4205,102,18
80,15347,150,373,534,Direct,In Progress,168,2020-09-30,2020-07-17,2021-06-10,2025-08-10 15:47:43.503000000,0,0,15347,150,373
83,18559,45,497,2151,Referral,In Progress,164,2025-02-07,2020-11-22,2025-11-07,2025-08-10 15:47:43.503000000,0,0,18559,45,497
84,14823,5,436,202,LinkedIn,In Progress,11,2023-04-30,2020-11-18,2020-07-20,2025-08-10 15:47:43.503000000,0,0,14823,5,436
87,4588,109,499,1992,AdWords,Dropped,22,2021-10-23,2020-10-22,2025-06-07,2025-08-10 15:47:43.503000000,0,0,4588,109,499
88,10470,55,465,711,Direct,In Progress,13,2020-08-24,2023-04-13,2021-12-08,2025-08-10 15:47:43.503000000,0,0,10470,55,465
89,17908,8,61,740,LinkedIn,In Progress,34,2021-09-13,2023-01-24,2022-01-08,2025-08-10 15:47:43.503000000,0,0,17908,8,61
91,612,200,102,217,LinkedIn,In Progress,41,2025-12-10,2023-11-11,2020-07-30,2025-08-10 15:47:43.503000000,0,0,612,200,102
92,16120,176,222,63,LinkedIn,In Progress,128,2023-07-21,2020-08-01,2020-02-27,2025-08-10 15:47:43.503000000,0,0,16120,176,222
93,16110,108,120,1400,Referral,Dropped,166,2020-03-02,2024-11-06,2023-10-22,2025-08-10 15:47:43.503000000,0,0,16110,108,120
94,15275,94,43,1536,Direct,Dropped,129,2020-07-21,2021-12-31,2024-03-12,2025-08-10 15:47:43.503000000,0,0,15275,94,43
97,3292,50,392,2013,AdWords,Dropped,67,2022-07-28,2025-11-10,2025-06-21,2025-08-10 15:47:43.503000000,0,0,3292,50,392
99,19588,46,490,1871,LinkedIn,In Progress,107,2024-06-19,2022-11-03,2025-02-04,2025-08-10 15:47:43.503000000,0,0,19588,46,490
100,2607,51,11,1509,AdWords,In Progress,126,2025-10-08,2024-04-15,2024-02-06,2025-08-10 15:47:43.503000000,0,0,2607,51,11
101,517,71,344,1289,Referral,In Progress,134,2022-10-14,2025-06-12,2023-07-11,2025-08-10 15:47:43.503000000,0,0,517,71,344
102,9588,115,27,2079,Direct,In Progress,40,2021-12-02,2024-10-04,2025-08-31,2025-08-10 15:47:43.503000000,0,0,9588,115,27
103,13899,106,135,1095,Direct,In Progress,68,2025-05-22,2025-06-21,2022-12-17,2025-08-10 15:47:43.503000000,0,0,13899,106,135
105,10941,23,145,463,Referral,Dropped,62,2023-06-21,2020-06-27,2021-03-25,2025-08-10 15:47:43.503000000,0,0,10941,23,145
