DateID,CalendarDate,Day,Month,MonthName,Quarter,Year,WeekdayName,IsWeekend
1,2020-01-01,1,1,January,2020Q1,2020,Wednesday,False
2,2020-01-02,2,1,January,2020Q1,2020,Thursday,False
3,2020-01-03,3,1,January,2020Q1,2020,Friday,False
4,2020-01-04,4,1,January,2020Q1,2020,Saturday,True
5,2020-01-05,5,1,January,2020Q1,2020,Sunday,True
6,2020-01-06,6,1,January,2020Q1,2020,Monday,False
7,2020-01-07,7,1,January,2020Q1,2020,Tuesday,False
8,2020-01-08,8,1,January,2020Q1,2020,Wednesday,False
9,2020-01-09,9,1,January,2020Q1,2020,Thursday,False
10,2020-01-10,10,1,January,2020Q1,2020,Friday,False
11,2020-01-11,11,1,January,2020Q1,2020,Saturday,True
12,2020-01-12,12,1,January,2020Q1,2020,Sunday,True
13,2020-01-13,13,1,January,2020Q1,2020,Monday,False
14,2020-01-14,14,1,January,2020Q1,2020,Tuesday,False
15,2020-01-15,15,1,January,2020Q1,2020,Wednesday,False
16,2020-01-16,16,1,January,2020Q1,2020,Thursday,False
17,2020-01-17,17,1,January,2020Q1,2020,Friday,False
18,2020-01-18,18,1,January,2020Q1,2020,Saturday,True
19,2020-01-19,19,1,January,2020Q1,2020,Sunday,True
20,2020-01-20,20,1,January,2020Q1,2020,Monday,False
21,2020-01-21,21,1,January,2020Q1,2020,Tuesday,False
22,2020-01-22,22,1,January,2020Q1,2020,Wednesday,False
23,2020-01-23,23,1,January,2020Q1,2020,Thursday,False
24,2020-01-24,24,1,January,2020Q1,2020,Friday,False
25,2020-01-25,25,1,January,2020Q1,2020,Saturday,True
26,2020-01-26,26,1,January,2020Q1,2020,Sunday,True
27,2020-01-27,27,1,January,2020Q1,2020,Monday,False
28,2020-01-28,28,1,January,2020Q1,2020,Tuesday,False
29,2020-01-29,29,1,January,2020Q1,2020,Wednesday,False
30,2020-01-30,30,1,January,2020Q1,2020,Thursday,False
31,2020-01-31,31,1,January,2020Q1,2020,Friday,False
32,2020-02-01,1,2,February,2020Q1,2020,Saturday,True
33,2020-02-02,2,2,February,2020Q1,2020,Sunday,True
34,2020-02-03,3,2,February,2020Q1,2020,Monday,False
35,2020-02-04,4,2,February,2020Q1,2020,Tuesday,False
36,2020-02-05,5,2,February,2020Q1,2020,Wednesday,False
37,2020-02-06,6,2,February,2020Q1,2020,Thursday,False
38,2020-02-07,7,2,February,2020Q1,2020,Friday,False
39,2020-02-08,8,2,February,2020Q1,2020,Saturday,True
40,2020-02-09,9,2,February,2020Q1,2020,Sunday,True
41,2020-02-10,10,2,February,2020Q1,2020,Monday,False
42,2020-02-11,11,2,February,2020Q1,2020,Tuesday,False
43,2020-02-12,12,2,February,2020Q1,2020,Wednesday,False
44,2020-02-13,13,2,February,2020Q1,2020,Thursday,False
45,2020-02-14,14,2,February,2020Q1,2020,Friday,False
46,2020-02-15,15,2,February,2020Q1,2020,Saturday,True
47,2020-02-16,16,2,February,2020Q1,2020,Sunday,True
48,2020-02-17,17,2,February,2020Q1,2020,Monday,False
49,2020-02-18,18,2,February,2020Q1,2020,Tuesday,False
50,2020-02-19,19,2,February,2020Q1,2020,Wednesday,False
51,2020-02-20,20,2,February,2020Q1,2020,Thursday,False
52,2020-02-21,21,2,February,2020Q1,2020,Friday,False
53,2020-02-22,22,2,February,2020Q1,2020,Saturday,True
54,2020-02-23,23,2,February,2020Q1,2020,Sunday,True
55,2020-02-24,24,2,February,2020Q1,2020,Monday,False
56,2020-02-25,25,2,February,2020Q1,2020,Tuesday,False
57,2020-02-26,26,2,February,2020Q1,2020,Wednesday,False
58,2020-02-27,27,2,February,2020Q1,2020,Thursday,False
59,2020-02-28,28,2,February,2020Q1,2020,Friday,False
60,2020-02-29,29,2,February,2020Q1,2020,Saturday,True
